Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,RSI_14
2026-02-20,395.2539159508346,399.2552593187824,394.3059873534157,396.37152099609375,34015200,419.8391418457031,452.15375427246096,32.35
2026-02-23,394.14630950985264,394.50551684604494,382.27203437696886,383.6390686035156,43238300,415.82688598632814,450.02976379394534,27.86
2026-02-24,383.30981969967445,388.5185091169527,380.88504821898124,388.1593017578125,33884700,411.8251022338867,448.2641845703125,31.5
2026-02-25,389.68597856263057,400.60233728073825,389.31678308531696,399.7342224121094,43625500,407.88934631347655,446.6323388671875,39.85
2026-02-26,403.8353349281015,406.6093255926281,397.8782360341113,400.851806640625,34405900,403.9572036743164,445.12120666503904,40.61
2026-02-27,390.03523926255787,395.9624042352165,389.0374004516944,391.8912048339844,51367200,401.9728607177734,443.5047332763672,36.64
2026-03-02,392.01092411942045,400.32293811697235,389.78576315389057,397.6886291503906,35474900,400.43817749023435,441.9729473876953,40.68
2026-03-03,392.2903484387299,405.82103971635513,391.82136299902305,403.0570068359375,38199200,399.51637878417966,440.55390563964846,44.22
2026-03-04,400.4027502952161,410.14166638677375,399.44483360720756,404.32427978515625,35808000,399.263249206543,439.0037060546875,45.05
2026-03-05,403.54596943015656,410.72040218284053,403.525993165685,409.79241943359375,39001300,399.1351852416992,437.5242413330078,48.62
2026-03-06,408.31564337314285,412.1572983375802,407.6271321747383,408.0761413574219,31123900,399.94275970458983,436.0303619384766,47.58
2026-03-09,404.044890641513,409.3234358422322,402.62794618065146,408.5251770019531,30131900,400.4009414672852,434.5070343017578,47.89
2026-03-10,409.1438479339772,409.31349393117443,402.05918625996463,404.8830871582031,31706400,400.05678100585936,432.88756958007815,45.5
2026-03-11,404.6934855668013,408.1260534422115,400.7220762180728,404.0049743652344,25512100,399.68514251708984,431.25671447753905,44.92
2026-03-12,403.7555185610488,405.2422886286942,400.84181586601125,400.9914855957031,27263900,399.6058578491211,429.57773559570313,42.89
2026-03-13,400.13336309353434,403.9251383935716,393.3979511212616,394.69512939453125,26848000,399.3376937866211,427.76526306152346,38.93
2026-03-16,397.209690545171,399.7641553863696,393.9367805641587,399.08563232421875,27733700,399.3149383544922,426.1174584960938,42.89
2026-03-17,399.4049101655112,403.5259891234105,396.8903674487218,398.5467834472656,26228300,399.4872528076172,424.67153015136716,42.53
2026-03-18,396.271723303423,397.13983817793417,390.1549666521916,390.9432678222656,25908500,399.14299926757815,423.0753234863281,37.67
2026-03-19,389.2569126674818,391.6417315076428,386.2234742615233,388.1792297363281,25138800,398.67201843261716,421.3111376953125,36.05
2026-03-20,385.95408868282834,386.16362631018524,379.29849030352204,381.0447082519531,50853200,397.90567779541016,419.30550170898437,32.22
2026-03-23,383.07032058481127,386.3731646745857,380.85511716508233,382.1722717285156,29680100,397.8323379516602,417.4291418457031,33.42
2026-03-24,381.53362193174286,381.6434000325674,371.04635704379217,371.9344177246094,42733600,397.02109375,415.32472839355466,28.47
2026-03-25,376.10542586510894,376.2451074667104,368.831172255135,370.2381286621094,31181200,395.5462890625,413.228203125,27.74
2026-03-26,370.01860155518807,373.9101668945663,364.4007640805619,365.1790771484375,36836600,393.7626525878906,411.16011901855467,25.62
2026-03-27,361.11784971721505,361.6666793192034,355.73951450811694,355.9989318847656,37883400,391.96803894042966,409.1332305908203,22.29
2026-03-30,361.1178525849577,364.5703662773937,355.51000344849933,358.1842041015625,44797000,389.9928176879883,407.20420654296873,24.8
2026-03-31,363.7621155862403,372.09407550142714,362.28533367877645,369.3699951171875,45244400,388.30846710205077,405.4351824951172,36.14
2026-04-01,372.682807332766,373.1817267376728,367.4042619540212,368.57171630859375,29417200,386.52083892822264,403.75651977539064,35.73
2026-04-02,366.41637016886637,372.83249667260446,363.3629859357669,372.6528625488281,24099100,384.6638610839844,402.36675720214845,39.54
2026-04-06,372.682794233078,372.92229624611906,368.70142726638517,372.0741271972656,16146600,382.86376037597654,400.8254425048828,39.19
2026-04-07,369.5396147715723,371.64507045865594,365.7677853538718,371.48541259765625,21443300,381.0117721557617,398.97746704101564,38.8
2026-04-08,384.148004001906,384.167949815935,370.6073237610428,373.52099609375,33064800,379.44366760253905,397.0839874267578,40.95
2026-04-09,371.6949574789129,372.6927962909368,366.2567237727329,372.26373291015625,30435300,377.85660552978516,394.9602752685547,40.01
2026-04-10,372.17393720824543,374.8281921461914,369.23030048358606,370.0684814453125,28111100,376.3104553222656,392.77175170898437,38.37
2026-04-13,372.8025510733858,383.70895264062807,370.2181521550117,383.539306640625,35745800,375.75266418457034,391.8109765625,51.52
2026-04-14,387.0816509997633,393.83700889302276,385.684652281273,392.2604064941406,37504500,375.4114028930664,391.0885388183594,57.8
2026-04-15,397.1398382929036,413.47445440771634,395.8725939925935,410.3312683105469,45063400,376.0006271362305,390.8653045654297,67.26
2026-04-16,418.95258572248235,419.9105328997013,411.2492993874727,419.35174560546875,41642400,377.4210510253906,391.0646020507813,70.78
2026-04-17,423.9018933176335,430.64726300981,419.78081413338697,421.87628173828125,48568200,379.1059036254883,391.2550537109375,71.7
2026-04-20,420.2398034863272,422.4150847565369,415.40027922801784,417.1664733886719,27582200,380.91199188232423,391.75989013671875,67.44
2026-04-21,419.33177508554746,426.25677891783357,416.2983670043314,423.2433166503906,32048500,382.96554412841795,392.23752563476563,69.92
2026-04-22,425.2689090952171,432.7626880248645,422.7543663498755,431.984375,29378200,385.9680419921875,392.64188720703123,73.1
2026-04-23,418.9825380949446,422.7443793162959,410.5208543154444,414.8514709472656,38308000,388.19870910644534,392.71016174316406,59.78
2026-04-24,416.0688403922519,424.0316048781353,414.9013556123021,423.7023010253906,27457400,391.12487030029297,393.13266418457033,63.48
2026-04-27,421.46715688013995,426.1869149113369,416.1686352924954,423.9018859863281,30867300,394.52001800537107,393.6095336914062,63.56
2026-04-28,423.6524179624475,428.99086152362304,420.9881750222059,428.3222961425781,30438100,398.02692260742185,394.1851647949219,65.4
2026-04-29,423.6623688360089,425.8975483734993,419.38166246548025,423.5426330566406,38288300,400.73555450439454,394.7540075683594,61.77
2026-04-30,409.92216255995794,413.5243765293071,397.1498378648014,406.8987121582031,70909400,402.651904296875,394.9354150390625,51.12
2026-05-01,411.9078412872606,416.2085240460113,409.5529563541748,413.5443115234375,31372400,404.6964767456055,395.2543243408203,54.5
2026-05-04,410.6505829404435,419.87060358807366,409.91216153093814,412.72607421875,28066500,406.7290740966797,395.58141540527345,54.0
2026-05-05,414.42242364358015,415.8792597859335,407.916495085617,410.4909362792969,25700900,408.6793502807617,396.1184527587891,52.6
